x-axis,1,2
second,Volt,Volt
-860.0000E-06,+898.3699653E-03,-530.2293E-06
-859.1400E-06,+895.4345359E-03,-354.6323E-06
-858.2800E-06,+892.1473479E-03,-266.6297E-06
-857.4200E-06,+889.5443320E-03,-149.1676E-06
-856.5600E-06,+887.1119164E-03,-16.0013E-06
-855.7000E-06,+884.0885356E-03,+153.9738E-06
-854.8400E-06,+880.1418116E-03,+335.0354E-06
-853.9800E-06,+877.6425730E-03,+461.1973E-06
-853.1200E-06,+873.7890208E-03,+616.2853E-06
-852.2600E-06,+869.7736906E-03,+720.0858E-06
-851.4000E-06,+866.1224295E-03,+853.5660E-06
-850.5400E-06,+862.6699086E-03,+948.6667E-06
-849.6800E-06,+858.0530863E-03,+1.0999551E-03
-848.8200E-06,+854.7307309E-03,+1.2446795E-03
-847.9600E-06,+850.6925085E-03,+1.3663177E-03
-847.1000E-06,+846.0545614E-03,+1.5040066E-03
-846.2400E-06,+842.7234231E-03,+1.5971289E-03
-845.3800E-06,+838.4108192E-03,+1.7846305E-03
-844.5200E-06,+833.5864697E-03,+1.9361980E-03
-843.6600E-06,+828.5633289E-03,+2.1130830E-03
-842.8000E-06,+823.5771897E-03,+2.2185165E-03
-841.9400E-06,+818.8477599E-03,+2.3018098E-03
-841.0800E-06,+813.4887136E-03,+2.4659378E-03
-840.2200E-06,+809.0952600E-03,+2.5496131E-03
-839.3600E-06,+803.8417351E-03,+2.6992972E-03
-838.5000E-06,+799.1299066E-03,+2.8444590E-03
-837.6400E-06,+793.9501846E-03,+2.9819916E-03
-836.7800E-06,+788.6123651E-03,+3.0890873E-03
-835.9200E-06,+783.4326706E-03,+3.2049175E-03
-835.0600E-06,+777.4175686E-03,+3.3554536E-03
-834.2000E-06,+771.8157769E-03,+3.5011825E-03
-833.3400E-06,+765.9625196E-03,+3.5931745E-03
-832.4800E-06,+760.3519566E-03,+3.7268748E-03
-831.6200E-06,+754.2419270E-03,+3.8741702E-03
-830.7600E-06,+747.9207369E-03,+3.9643110E-03
-829.9000E-06,+741.2127504E-03,+4.1420431E-03
-829.0400E-06,+734.4343194E-03,+4.2284401E-03
-828.1800E-06,+729.1245143E-03,+4.3406649E-03
-827.3200E-06,+722.4727136E-03,+4.4919137E-03
-826.4600E-06,+717.3318315E-03,+4.6219065E-03
-825.6000E-06,+710.0468516E-03,+4.7753748E-03
-824.7400E-06,+704.2393593E-03,+4.8380210E-03
-823.8800E-06,+697.3044099E-03,+5.0005555E-03
-823.0200E-06,+690.0212251E-03,+5.0918826E-03
