x-axis,1,2
second,Volt,Volt
-25.00000E-03,+8.09066412E+00,+373.44299E-03
-24.97500E-03,+8.10341538E+00,+384.74940E-03
-24.95000E-03,+8.12005030E+00,+395.85066E-03
-24.92500E-03,+8.13031688E+00,+406.89268E-03
-24.90000E-03,+8.13624804E+00,+416.92339E-03
-24.87500E-03,+8.14534879E+00,+426.78219E-03
-24.85000E-03,+8.16044628E+00,+437.55838E-03
-24.82500E-03,+8.17417392E+00,+447.92138E-03
-24.80000E-03,+8.18141663E+00,+457.70072E-03
-24.77500E-03,+8.19021864E+00,+467.42949E-03
-24.75000E-03,+8.20462392E+00,+477.36196E-03
-24.72500E-03,+8.21873774E+00,+487.19909E-03
-24.70000E-03,+8.22576186E+00,+496.72704E-03
-24.67500E-03,+8.23132869E+00,+505.56730E-03
-24.65000E-03,+8.24088849E+00,+513.64909E-03
-24.62500E-03,+8.25471814E+00,+521.43326E-03
-24.60000E-03,+8.26506487E+00,+528.73056E-03
-24.57500E-03,+8.27078472E+00,+535.69412E-03
-24.55000E-03,+8.27516387E+00,+543.57509E-03
-24.52500E-03,+8.28201312E+00,+552.02817E-03
-24.50000E-03,+8.29482995E+00,+560.69362E-03
-24.47500E-03,+8.30857216E+00,+569.50066E-03
-24.45000E-03,+8.31687141E+00,+577.57811E-03
-24.42500E-03,+8.32211764E+00,+585.75380E-03
-24.40000E-03,+8.32855156E+00,+593.20857E-03
-24.37500E-03,+8.33894930E+00,+600.77025E-03
-24.35000E-03,+8.35123422E+00,+608.28426E-03
-24.32500E-03,+8.36021839E+00,+615.46887E-03
-24.30000E-03,+8.36649201E+00,+622.36743E-03
-24.27500E-03,+8.37226286E+00,+629.29343E-03
-24.25000E-03,+8.38059126E+00,+636.42603E-03
-24.22500E-03,+8.39207467E+00,+643.03275E-03
-24.20000E-03,+8.40207894E+00,+649.68282E-03
-24.17500E-03,+8.40877517E+00,+656.34588E-03
-24.15000E-03,+8.41279000E+00,+662.77635E-03
-24.12500E-03,+8.41680482E+00,+668.66504E-03
-24.10000E-03,+8.42321689E+00,+674.40926E-03
-24.07500E-03,+8.43293698E+00,+680.49010E-03
-24.05000E-03,+8.44310885E+00,+686.21554E-03
-24.02500E-03,+8.45199829E+00,+692.08401E-03
-24.00000E-03,+8.45764527E+00,+697.46561E-03
-23.97500E-03,+8.46157995E+00,+702.44123E-03
-23.95000E-03,+8.46751839E+00,+707.46165E-03
-23.92500E-03,+8.47473925E+00,+712.50373E-03
-23.90000E-03,+8.48404402E+00,+717.63395E-03
-23.87500E-03,+8.49331236E+00,+722.72660E-03
-23.85000E-03,+8.49976814E+00,+727.60832E-03
-23.82500E-03,+8.50387769E+00,+732.30512E-03
-23.80000E-03,+8.50713472E+00,+737.00625E-03
-23.77500E-03,+8.51047919E+00,+741.26240E-03
-23.75000E-03,+8.51491663E+00,+745.38709E-03
-23.72500E-03,+8.52167116E+00,+749.19827E-03
-23.70000E-03,+8.52994126E+00,+753.25216E-03
-23.67500E-03,+8.53746086E+00,+757.21504E-03
-23.65000E-03,+8.54409151E+00,+761.06234E-03
-23.62500E-03,+8.54843421E+00,+764.74638E-03
-23.60000E-03,+8.55067844E+00,+768.02302E-03
-23.57500E-03,+8.55326512E+00,+771.31121E-03
-23.55000E-03,+8.55533447E+00,+774.32201E-03
-23.52500E-03,+8.55738195E+00,+776.74048E-03
-23.50000E-03,+8.56034753E+00,+778.43514E-03
-23.47500E-03,+8.56336412E+00,+780.16592E-03
-23.45000E-03,+8.56651186E+00,+781.27546E-03
-23.42500E-03,+8.56883622E+00,+781.69154E-03
-23.40000E-03,+8.57021336E+00,+781.14110E-03
-23.37500E-03,+8.56992919E+00,+780.04600E-03
-23.35000E-03,+8.56932441E+00,+778.47703E-03
-23.32500E-03,+8.56801285E+00,+776.23771E-03
-23.30000E-03,+8.56471939E+00,+772.78771E-03
-23.27500E-03,+8.56087943E+00,+768.12703E-03
-23.25000E-03,+8.55699577E+00,+762.05919E-03
-23.22500E-03,+8.55429250E+00,+754.87602E-03
-23.20000E-03,+8.55155280E+00,+747.84166E-03
-23.17500E-03,+8.54742139E+00,+740.00981E-03
-23.15000E-03,+8.53979978E+00,+731.53362E-03
-23.12500E-03,+8.52967164E+00,+722.92162E-03
-23.10000E-03,+8.51963823E+00,+714.33996E-03
-23.07500E-03,+8.51203848E+00,+706.19750E-03
-23.05000E-03,+8.50762291E+00,+699.28017E-03
-23.02500E-03,+8.50499979E+00,+691.90630E-03
-23.00000E-03,+8.50172818E+00,+684.52087E-03
-22.97500E-03,+8.49608119E+00,+677.51396E-03
-22.95000E-03,+8.48744677E+00,+670.58218E-03
-22.92500E-03,+8.47948999E+00,+664.02458E-03
-22.90000E-03,+8.47169350E+00,+657.47564E-03
-22.87500E-03,+8.46558748E+00,+650.70711E-03
-22.85000E-03,+8.46118647E+00,+643.86779E-03
-22.82500E-03,+8.45779828E+00,+637.11660E-03
-22.80000E-03,+8.45309853E+00,+630.31195E-03
-22.77500E-03,+8.44754627E+00,+624.06063E-03
-22.75000E-03,+8.43848194E+00,+617.42068E-03
-22.72500E-03,+8.43042315E+00,+610.47734E-03
-22.70000E-03,+8.42243723E+00,+603.69581E-03
-22.67500E-03,+8.41771562E+00,+597.09920E-03
-22.65000E-03,+8.41493949E+00,+590.82765E-03
-22.62500E-03,+8.41232366E+00,+584.19926E-03
-22.60000E-03,+8.40970783E+00,+577.82225E-03
-22.57500E-03,+8.40564200E+00,+571.40768E-03
-22.55000E-03,+8.40030104E+00,+564.88042E-03
