"Ifs mA","I mA","V"
5,1,0.60731
5,1.3,0.61636
5,1.8,0.63092
5,2.4,0.64229
5,3.3,.65667
5,4.5,.67097
50,6,.68695
50,8,.69955
50,11,.71187
50,15,.72359
50,20,.73587
50,27,.74718
50,37,.76090
50,50,.77274
500,60,.78328
500,90,.79837
500,120,.80770
500,160,.81750
500,220,.82501
500,300,.83672




