freq,in,outDIFF,phDIFF,outCM,phCM
100,200e-3,7.06,-1.5,0,0
183,200e-3,7.00,-0.9,0,0
333,200e-3,7.01,-0.3,0,0
623,200e-3,7.01,0,0,0
1123,200e-3,7.01,0.3,0,0
2023,200e-3,7.01,0.8,0,0
3823,200e-3,7.01,1.6,0,0
7023,200e-3,7.01,3.3,0,0
12923,200e-3,6.98,5.9,0,0
23923,200e-3,6.89,11,0,0
43923,200e-3,6.65,19.0,0,0
80923,203e-3,5.98,31.8,0,0
148923,203e-3,4.66,48.9,0,0
278923,203e-3,3.02,65.1,0,0
500923,201e-3,1.79,77,0,0
