9.48,48,31,0.365,79.52
26.3,124,10,0.907,64.15
73.4,230,3.7,1.65,35.7
203,270,1.36,1.95,14.8
563,280,0.49,2,5.63
1589,290,0.168,2.02,2.24
3000,290,0.09,2.02,1.42
